,Price,TVL_1,TVL_2,TVL_3,LVR_1,LVR_2,LVR_3,Collected_Fees_1,Collected_Fees_2,Collected_Fees_3,Collected_Fees_Retail_1,Collected_Fees_Retail_2,Collected_Fees_Retail_3,Collected_Fees_Arbitrage_1,Collected_Fees_Arbitrage_2,Collected_Fees_Arbitrage_3,Volume_1,Volume_2,Volume_3,Volume_Retail_1,Volume_Retail_2,Volume_Retail_3,Volume_Arbitrage_1,Volume_Arbitrage_2,Volume_Arbitrage_3,Best Pool,Best Pool TVL/CFMM
12,2537.510462493199,105873477.64540374,105938854.86063442,105985071.10168564,225788.0576030218,29372.3367677637,58604.073792048184,502622.5577117328,304729.8994495284,325468.0627341366,326883.4205458858,304729.8994495284,325468.0627341366,175739.13716584703,0,0,167540852.57057637,231714061.8798167,302591505.1245576,108961140.18196076,101576633.14984298,108489354.24471174,58579712.388615616,130137428.72997373,194102150.8798459,3,1.0010540265490822
13,1784.5179649057513,88854780.82491857,88930460.88377291,88953216.18235813,204652.2678661498,27660.280686411556,51088.44609678667,478892.1596381593,297717.6492099555,327983.6043166888,318016.9103025904,297717.6492099555,327983.6043166888,160875.24933556892,0,0,159630719.8793868,228042092.56136474,282957100.02524173,106005636.76753034,99239216.4033184,109327868.10556331,53625083.11185647,128802876.15804633,173629231.9196784,3,1.0011078228602412
14,2872.630459458334,112650823.68876252,112714340.88624385,112774793.39768437,227826.52597066763,29950.783306896577,63659.829308683016,502753.9625367275,295449.235578468,323997.72415693314,325421.8593281031,295449.235578468,323997.72415693314,177332.1032086244,0,0,167584654.1789092,231279160.7794932,309562982.8102295,108473953.10936786,98483078.52615602,107999241.3856436,59110701.06954136,132796082.25333719,201563741.42458588,3,1.001100477607375
15,1939.9996682848011,92614837.38467976,92698089.87867844,92711572.50041217,213638.01459788837,29353.65438943547,59834.61866687533,480054.48537222424,303406.0521651031,332767.0808593667,312743.64861691307,303406.0521651031,332767.0808593667,167310.83675531115,0,0,160018161.79074156,235514091.10235345,296940207.49863636,104247882.87230453,101135350.72170128,110922360.28645553,55770278.918437034,134378740.3806522,186017847.21218082,3,1.0010444883181149
16,2043.9428815354852,95067978.96449965,95124595.2677866,95171584.6157583,212509.05605766538,28296.58275327076,64017.9381473092,491571.8261549092,293863.23680675967,319754.68823086383,325059.459491477,293863.23680675967,319754.68823086383,166512.3666634322,0,0,163857275.38497007,227230498.44577768,309013227.99380696,108353153.16382603,97954412.26892021,106584896.07695472,55504122.22114405,129276086.17685747,202428331.91685224,3,1.001089805972391
17,2064.208323242376,95542960.38780282,95601801.0775375,95671821.25091767,202295.27791106363,27395.984837470834,66164.09577956304,480294.58479463484,291659.07547502,332882.32531919895,321931.6759656904,291659.07547502,332882.32531919895,158362.90882894443,0,0,160098194.93154496,223303314.74587828,316675010.3723731,107310558.65523013,97219691.82500647,110960775.10640025,52787636.27631481,126083622.92087181,205714235.26597282,3,1.0013487216911827
18,2344.206151492014,101780564.5655233,101869725.58617094,101871192.6347368,235095.7155748327,31414.31464907618,55844.3381331683,505223.5551870781,302394.02990539634,315729.2796976055,321637.20234644227,302394.02990539634,315729.2796976055,183586.35284063584,0,0,168407851.72902703,241253415.9394284,289462244.84772813,107212400.78214836,100798009.96846534,105243093.23253594,61195450.94687867,140455405.97096303,184219151.6151922,3,1.000890426080857
19,2185.5308952297282,98292098.42356956,98374741.14028111,98396800.01001665,210052.38261918444,28857.52284087485,62867.65753865049,486254.51568723255,300208.4789366686,334796.5447471488,321538.7809661106,300208.4789366686,334796.5447471488,164715.73472112196,0,0,162084838.56241104,231161140.14482227,306000530.6087783,107179593.65537043,100069492.97888967,111598848.24904948,54905244.90704061,131091647.1659326,194401682.3597288,3,1.0010652085785767
20,2080.057941319498,95902502.0338113,95982685.4580737,96002825.8670394,209419.5229204911,27918.355897059537,54901.02680031375,470093.6006243619,300242.2836915915,336244.3357888412,305811.71662459185,300242.2836915915,336244.3357888412,164281.88399977007,0,0,156697866.87478808,228629384.77142,286757478.1428514,101937238.8748648,100080761.23052913,112081445.26294653,54760627.99992328,128548623.54089089,174676032.87990487,3,1.0010461023550015
21,2180.202105256683,98152760.29112267,98237200.88723382,98254355.5836927,223815.13259829686,29931.256644930672,54552.28220282679,483640.441933402,302564.06800029357,334242.15501804434,308660.5014087909,302564.06800029357,334242.15501804434,174979.94052461107,0,0,161213480.6444667,235452742.65497166,287588598.99151754,102886833.80292962,100854689.33343144,111414051.67268164,58326646.84153707,134598053.3215402,176174547.3188359,3,1.0010350732090334
